ID,Area_Name,Year,Sub_Group_Name,K_A_Cases_Reported
623,Assam,2009,03. for Camel Racing,0
624,Bihar,2009,03. for Camel Racing,0
625,Chandigarh,2009,03. for Camel Racing,0
626,Chhattisgarh,2009,03. for Camel Racing,0
627,Delhi,2009,03. for Camel Racing,0
628,Gujarat,2009,03. for Camel Racing,0
629,Haryana,2009,03. for Camel Racing,0
630,Himachal Pradesh,2009,03. for Camel Racing,0
631,Jammu & Kashmir,2009,03. for Camel Racing,0
632,Karnataka,2009,03. for Camel Racing,0
633,Madhya Pradesh,2009,03. for Camel Racing,0
634,Maharashtra,2009,03. for Camel Racing,0
635,Manipur,2009,03. for Camel Racing,0
636,Meghalaya,2009,03. for Camel Racing,0
637,Nagaland,2009,03. for Camel Racing,0
638,Odisha,2009,03. for Camel Racing,0
639,Tamil Nadu,2009,03. for Camel Racing,0
640,West Bengal,2009,03. for Camel Racing,0
641,Andhra Pradesh,2010,03. for Camel Racing,0
642,Arunachal Pradesh,2010,03. for Camel Racing,0
643,Chhattisgarh,2010,03. for Camel Racing,0
644,Gujarat,2010,03. for Camel Racing,0
645,Himachal Pradesh,2010,03. for Camel Racing,0
646,Jammu & Kashmir,2010,03. for Camel Racing,0
647,Jharkhand,2010,03. for Camel Racing,0
648,Karnataka,2010,03. for Camel Racing,2
649,Kerala,2010,03. for Camel Racing,0
650,Madhya Pradesh,2010,03. for Camel Racing,0
651,Maharashtra,2010,03. for Camel Racing,0
652,Manipur,2010,03. for Camel Racing,0
653,Meghalaya,2010,03. for Camel Racing,0
654,Mizoram,2010,03. for Camel Racing,0
655,Nagaland,2010,03. for Camel Racing,0
656,Odisha,2010,03. for Camel Racing,0
657,Tamil Nadu,2010,03. for Camel Racing,0
658,West Bengal,2010,03. for Camel Racing,0
659,Andhra Pradesh,2001,04. For Illicit Intercourse,78
660,Arunachal Pradesh,2001,04. For Illicit Intercourse,7
661,Assam,2001,04. For Illicit Intercourse,65
662,Bihar,2001,04. For Illicit Intercourse,46
663,Chandigarh,2001,04. For Illicit Intercourse,0
664,Chhattisgarh,2001,04. For Illicit Intercourse,3
665,Delhi,2001,04. For Illicit Intercourse,14
666,Goa,2001,04. For Illicit Intercourse,1
667,Gujarat,2001,04. For Illicit Intercourse,141
668,Haryana,2001,04. For Illicit Intercourse,95
669,Himachal Pradesh,2001,04. For Illicit Intercourse,6
670,Jammu & Kashmir,2001,04. For Illicit Intercourse,203
671,Jharkhand,2001,04. For Illicit Intercourse,13
672,Karnataka,2001,04. For Illicit Intercourse,11
673,Kerala,2001,04. For Illicit Intercourse,9
674,Madhya Pradesh,2001,04. For Illicit Intercourse,101
675,Maharashtra,2001,04. For Illicit Intercourse,54
676,Meghalaya,2001,04. For Illicit Intercourse,0
677,Mizoram,2001,04. For Illicit Intercourse,0
678,Nagaland,2001,04. For Illicit Intercourse,1
679,Odisha,2001,04. For Illicit Intercourse,91
680,Punjab,2001,04. For Illicit Intercourse,74
681,Rajasthan,2001,04. For Illicit Intercourse,44
682,Tamil Nadu,2001,04. For Illicit Intercourse,12
683,Uttar Pradesh,2001,04. For Illicit Intercourse,931
684,West Bengal,2001,04. For Illicit Intercourse,38
685,Andhra Pradesh,2002,04. For Illicit Intercourse,98
686,Arunachal Pradesh,2002,04. For Illicit Intercourse,1
687,Assam,2002,04. For Illicit Intercourse,81
688,Bihar,2002,04. For Illicit Intercourse,69
689,Chandigarh,2002,04. For Illicit Intercourse,NULL
690,Chhattisgarh,2002,04. For Illicit Intercourse,19
691,Daman & Diu,2002,04. For Illicit Intercourse,0
692,Delhi,2002,04. For Illicit Intercourse,13
693,Goa,2002,04. For Illicit Intercourse,1
694,Gujarat,2002,04. For Illicit Intercourse,126
695,Haryana,2002,04. For Illicit Intercourse,83
696,Himachal Pradesh,2002,04. For Illicit Intercourse,10
697,Jammu & Kashmir,2002,04. For Illicit Intercourse,181
698,Jharkhand,2002,04. For Illicit Intercourse,23
699,Karnataka,2002,04. For Illicit Intercourse,3
700,Kerala,2002,04. For Illicit Intercourse,10
701,Madhya Pradesh,2002,04. For Illicit Intercourse,102
702,Maharashtra,2002,04. For Illicit Intercourse,72
703,Meghalaya,2002,04. For Illicit Intercourse,0
704,Nagaland,2002,04. For Illicit Intercourse,0
705,Odisha,2002,04. For Illicit Intercourse,95
706,Punjab,2002,04. For Illicit Intercourse,53
707,Rajasthan,2002,04. For Illicit Intercourse,29
708,Tamil Nadu,2002,04. For Illicit Intercourse,18
709,Tripura,2002,04. For Illicit Intercourse,0
710,Uttar Pradesh,2002,04. For Illicit Intercourse,685
711,Uttarakhand,2002,04. For Illicit Intercourse,6
712,West Bengal,2002,04. For Illicit Intercourse,30
713,Andhra Pradesh,2003,04. For Illicit Intercourse,80
714,Arunachal Pradesh,2003,04. For Illicit Intercourse,9
715,Assam,2003,04. For Illicit Intercourse,125
716,Bihar,2003,04. For Illicit Intercourse,43
717,Chandigarh,2003,04. For Illicit Intercourse,0
718,Chhattisgarh,2003,04. For Illicit Intercourse,20
719,Daman & Diu,2003,04. For Illicit Intercourse,0
720,Delhi,2003,04. For Illicit Intercourse,23
721,Gujarat,2003,04. For Illicit Intercourse,177
722,Haryana,2003,04. For Illicit Intercourse,57
723,Himachal Pradesh,2003,04. For Illicit Intercourse,0
724,Jammu & Kashmir,2003,04. For Illicit Intercourse,218
725,Jharkhand,2003,04. For Illicit Intercourse,46
726,Karnataka,2003,04. For Illicit Intercourse,6
727,Kerala,2003,04. For Illicit Intercourse,8
728,Madhya Pradesh,2003,04. For Illicit Intercourse,100
729,Maharashtra,2003,04. For Illicit Intercourse,46
730,Meghalaya,2003,04. For Illicit Intercourse,2
731,Mizoram,2003,04. For Illicit Intercourse,1
732,Nagaland,2003,04. For Illicit Intercourse,0
733,Odisha,2003,04. For Illicit Intercourse,59
734,Punjab,2003,04. For Illicit Intercourse,45
735,Rajasthan,2003,04. For Illicit Intercourse,11
736,Tamil Nadu,2003,04. For Illicit Intercourse,13
737,Uttar Pradesh,2003,04. For Illicit Intercourse,498
738,Uttarakhand,2003,04. For Illicit Intercourse,6
739,West Bengal,2003,04. For Illicit Intercourse,25
740,Andhra Pradesh,2004,04. For Illicit Intercourse,102
741,Arunachal Pradesh,2004,04. For Illicit Intercourse,1
742,Assam,2004,04. For Illicit Intercourse,218
743,Bihar,2004,04. For Illicit Intercourse,57
744,Chhattisgarh,2004,04. For Illicit Intercourse,18
745,Delhi,2004,04. For Illicit Intercourse,3
746,Gujarat,2004,04. For Illicit Intercourse,136
747,Haryana,2004,04. For Illicit Intercourse,66
748,Himachal Pradesh,2004,04. For Illicit Intercourse,3
749,Jammu & Kashmir,2004,04. For Illicit Intercourse,217
750,Jharkhand,2004,04. For Illicit Intercourse,44
751,Karnataka,2004,04. For Illicit Intercourse,13
752,Kerala,2004,04. For Illicit Intercourse,18
753,Madhya Pradesh,2004,04. For Illicit Intercourse,0
754,Maharashtra,2004,04. For Illicit Intercourse,38
755,Manipur,2004,04. For Illicit Intercourse,14
756,Meghalaya,2004,04. For Illicit Intercourse,1
757,Mizoram,2004,04. For Illicit Intercourse,0
758,Nagaland,2004,04. For Illicit Intercourse,0
759,Odisha,2004,04. For Illicit Intercourse,65
760,Punjab,2004,04. For Illicit Intercourse,76
761,Rajasthan,2004,04. For Illicit Intercourse,14
762,Tamil Nadu,2004,04. For Illicit Intercourse,30
763,Tripura,2004,04. For Illicit Intercourse,0
764,Uttar Pradesh,2004,04. For Illicit Intercourse,892
765,Uttarakhand,2004,04. For Illicit Intercourse,6
766,West Bengal,2004,04. For Illicit Intercourse,35
767,Andhra Pradesh,2005,04. For Illicit Intercourse,58
768,Arunachal Pradesh,2005,04. For Illicit Intercourse,1
769,Assam,2005,04. For Illicit Intercourse,129
770,Bihar,2005,04. For Illicit Intercourse,31
771,Chandigarh,2005,04. For Illicit Intercourse,0
772,Chhattisgarh,2005,04. For Illicit Intercourse,33
773,Delhi,2005,04. For Illicit Intercourse,4
774,Gujarat,2005,04. For Illicit Intercourse,154
775,Haryana,2005,04. For Illicit Intercourse,68
776,Himachal Pradesh,2005,04. For Illicit Intercourse,5
777,Jammu & Kashmir,2005,04. For Illicit Intercourse,269
778,Jharkhand,2005,04. For Illicit Intercourse,40
779,Karnataka,2005,04. For Illicit Intercourse,3
780,Kerala,2005,04. For Illicit Intercourse,9
781,Madhya Pradesh,2005,04. For Illicit Intercourse,46
782,Maharashtra,2005,04. For Illicit Intercourse,49
783,Manipur,2005,04. For Illicit Intercourse,0
784,Meghalaya,2005,04. For Illicit Intercourse,4
785,Mizoram,2005,04. For Illicit Intercourse,0
786,Nagaland,2005,04. For Illicit Intercourse,0
787,Odisha,2005,04. For Illicit Intercourse,83
788,Punjab,2005,04. For Illicit Intercourse,32
789,Rajasthan,2005,04. For Illicit Intercourse,12
790,Tamil Nadu,2005,04. For Illicit Intercourse,19
791,Tripura,2005,04. For Illicit Intercourse,3
792,Uttar Pradesh,2005,04. For Illicit Intercourse,991
793,Uttarakhand,2005,04. For Illicit Intercourse,22
794,West Bengal,2005,04. For Illicit Intercourse,49
795,Andhra Pradesh,2006,04. For Illicit Intercourse,111
796,Arunachal Pradesh,2006,04. For Illicit Intercourse,7
797,Assam,2006,04. For Illicit Intercourse,147
798,Bihar,2006,04. For Illicit Intercourse,89
799,Chhattisgarh,2006,04. For Illicit Intercourse,24
800,Delhi,2006,04. For Illicit Intercourse,14
801,Goa,2006,04. For Illicit Intercourse,3
802,Gujarat,2006,04. For Illicit Intercourse,184
803,Haryana,2006,04. For Illicit Intercourse,82
804,Himachal Pradesh,2006,04. For Illicit Intercourse,1
805,Jammu & Kashmir,2006,04. For Illicit Intercourse,405
806,Jharkhand,2006,04. For Illicit Intercourse,25
807,Karnataka,2006,04. For Illicit Intercourse,4
808,Kerala,2006,04. For Illicit Intercourse,15
809,Madhya Pradesh,2006,04. For Illicit Intercourse,40
810,Maharashtra,2006,04. For Illicit Intercourse,68
811,Manipur,2006,04. For Illicit Intercourse,0
812,Meghalaya,2006,04. For Illicit Intercourse,19
813,Mizoram,2006,04. For Illicit Intercourse,0
814,Nagaland,2006,04. For Illicit Intercourse,0
815,Odisha,2006,04. For Illicit Intercourse,87
816,Puducherry,2006,04. For Illicit Intercourse,1
817,Punjab,2006,04. For Illicit Intercourse,35
818,Rajasthan,2006,04. For Illicit Intercourse,17
819,Sikkim,2006,04. For Illicit Intercourse,1
820,Tamil Nadu,2006,04. For Illicit Intercourse,35
821,Tripura,2006,04. For Illicit Intercourse,4
822,Uttar Pradesh,2006,04. For Illicit Intercourse,1161
823,Uttarakhand,2006,04. For Illicit Intercourse,2
824,West Bengal,2006,04. For Illicit Intercourse,44
825,Andhra Pradesh,2007,04. For Illicit Intercourse,228
826,Arunachal Pradesh,2007,04. For Illicit Intercourse,0
827,Assam,2007,04. For Illicit Intercourse,119
828,Bihar,2007,04. For Illicit Intercourse,57
829,Chhattisgarh,2007,04. For Illicit Intercourse,23
830,Delhi,2007,04. For Illicit Intercourse,35
831,Goa,2007,04. For Illicit Intercourse,1
832,Gujarat,2007,04. For Illicit Intercourse,180
833,Haryana,2007,04. For Illicit Intercourse,111
834,Himachal Pradesh,2007,04. For Illicit Intercourse,2
835,Jammu & Kashmir,2007,04. For Illicit Intercourse,281
836,Jharkhand,2007,04. For Illicit Intercourse,69
837,Karnataka,2007,04. For Illicit Intercourse,3
838,Kerala,2007,04. For Illicit Intercourse,17
839,Madhya Pradesh,2007,04. For Illicit Intercourse,61
840,Maharashtra,2007,04. For Illicit Intercourse,22
841,Manipur,2007,04. For Illicit Intercourse,0
842,Meghalaya,2007,04. For Illicit Intercourse,2
843,Mizoram,2007,04. For Illicit Intercourse,0
844,Nagaland,2007,04. For Illicit Intercourse,0
845,Odisha,2007,04. For Illicit Intercourse,126
846,Punjab,2007,04. For Illicit Intercourse,32
847,Rajasthan,2007,04. For Illicit Intercourse,30
848,Tamil Nadu,2007,04. For Illicit Intercourse,62
849,Uttar Pradesh,2007,04. For Illicit Intercourse,1018
850,Uttarakhand,2007,04. For Illicit Intercourse,8
851,West Bengal,2007,04. For Illicit Intercourse,164
852,Andhra Pradesh,2008,04. For Illicit Intercourse,147
853,Arunachal Pradesh,2008,04. For Illicit Intercourse,0
854,Assam,2008,04. For Illicit Intercourse,117
855,Bihar,2008,04. For Illicit Intercourse,129
856,Chhattisgarh,2008,04. For Illicit Intercourse,4
857,Delhi,2008,04. For Illicit Intercourse,9
858,Gujarat,2008,04. For Illicit Intercourse,178
859,Haryana,2008,04. For Illicit Intercourse,120
860,Himachal Pradesh,2008,04. For Illicit Intercourse,2
861,Jammu & Kashmir,2008,04. For Illicit Intercourse,341
862,Jharkhand,2008,04. For Illicit Intercourse,11
863,Karnataka,2008,04. For Illicit Intercourse,6
864,Kerala,2008,04. For Illicit Intercourse,24
865,Madhya Pradesh,2008,04. For Illicit Intercourse,66
866,Maharashtra,2008,04. For Illicit Intercourse,20
867,Manipur,2008,04. For Illicit Intercourse,0
868,Meghalaya,2008,04. For Illicit Intercourse,5
869,Mizoram,2008,04. For Illicit Intercourse,0
870,Nagaland,2008,04. For Illicit Intercourse,0
871,Odisha,2008,04. For Illicit Intercourse,141
872,Puducherry,2008,04. For Illicit Intercourse,0
873,Punjab,2008,04. For Illicit Intercourse,19
874,Rajasthan,2008,04. For Illicit Intercourse,9
875,Sikkim,2008,04. For Illicit Intercourse,1
876,Tamil Nadu,2008,04. For Illicit Intercourse,34
877,Uttar Pradesh,2008,04. For Illicit Intercourse,1272
878,Uttarakhand,2008,04. For Illicit Intercourse,4
879,West Bengal,2008,04. For Illicit Intercourse,18
880,Andhra Pradesh,2009,04. For Illicit Intercourse,170
881,Arunachal Pradesh,2009,04. For Illicit Intercourse,9
882,Assam,2009,04. For Illicit Intercourse,135
883,Bihar,2009,04. For Illicit Intercourse,40
884,Chandigarh,2009,04. For Illicit Intercourse,0
885,Chhattisgarh,2009,04. For Illicit Intercourse,8
886,Delhi,2009,04. For Illicit Intercourse,15
887,Gujarat,2009,04. For Illicit Intercourse,254
888,Haryana,2009,04. For Illicit Intercourse,69
889,Himachal Pradesh,2009,04. For Illicit Intercourse,3
890,Jammu & Kashmir,2009,04. For Illicit Intercourse,212
891,Jharkhand,2009,04. For Illicit Intercourse,53
892,Karnataka,2009,04. For Illicit Intercourse,5
893,Kerala,2009,04. For Illicit Intercourse,22
894,Madhya Pradesh,2009,04. For Illicit Intercourse,69
895,Maharashtra,2009,04. For Illicit Intercourse,31
896,Manipur,2009,04. For Illicit Intercourse,0
897,Meghalaya,2009,04. For Illicit Intercourse,10
898,Nagaland,2009,04. For Illicit Intercourse,0
899,Odisha,2009,04. For Illicit Intercourse,49
900,Punjab,2009,04. For Illicit Intercourse,33
901,Rajasthan,2009,04. For Illicit Intercourse,18
902,Tamil Nadu,2009,04. For Illicit Intercourse,27
903,Uttar Pradesh,2009,04. For Illicit Intercourse,1321
904,Uttarakhand,2009,04. For Illicit Intercourse,1
905,West Bengal,2009,04. For Illicit Intercourse,250
906,Andhra Pradesh,2010,04. For Illicit Intercourse,118
907,Arunachal Pradesh,2010,04. For Illicit Intercourse,4
908,Assam,2010,04. For Illicit Intercourse,241
909,Bihar,2010,04. For Illicit Intercourse,48
910,Chhattisgarh,2010,04. For Illicit Intercourse,14
911,Delhi,2010,04. For Illicit Intercourse,21
912,Gujarat,2010,04. For Illicit Intercourse,259
913,Haryana,2010,04. For Illicit Intercourse,137
914,Himachal Pradesh,2010,04. For Illicit Intercourse,4
915,Jammu & Kashmir,2010,04. For Illicit Intercourse,255
916,Jharkhand,2010,04. For Illicit Intercourse,34
917,Karnataka,2010,04. For Illicit Intercourse,2
918,Kerala,2010,04. For Illicit Intercourse,22
919,Madhya Pradesh,2010,04. For Illicit Intercourse,79
920,Maharashtra,2010,04. For Illicit Intercourse,42
921,Manipur,2010,04. For Illicit Intercourse,0
922,Meghalaya,2010,04. For Illicit Intercourse,8
923,Mizoram,2010,04. For Illicit Intercourse,0
924,Nagaland,2010,04. For Illicit Intercourse,0
925,Odisha,2010,04. For Illicit Intercourse,87
926,Puducherry,2010,04. For Illicit Intercourse,2
927,Punjab,2010,04. For Illicit Intercourse,32
928,Rajasthan,2010,04. For Illicit Intercourse,30
929,Sikkim,2010,04. For Illicit Intercourse,1
930,Tamil Nadu,2010,04. For Illicit Intercourse,70
931,Uttar Pradesh,2010,04. For Illicit Intercourse,1604
932,West Bengal,2010,04. For Illicit Intercourse,25
933,Andaman & Nicobar Islands,2001,05. For Marriage,2
934,Andhra Pradesh,2001,05. For Marriage,339
935,Arunachal Pradesh,2001,05. For Marriage,41
936,Assam,2001,05. For Marriage,751
937,Bihar,2001,05. For Marriage,555
938,Chandigarh,2001,05. For Marriage,43
939,Chhattisgarh,2001,05. For Marriage,148
940,Dadra & Nagar Haveli,2001,05. For Marriage,2
941,Delhi,2001,05. For Marriage,351
942,Goa,2001,05. For Marriage,4
943,Gujarat,2001,05. For Marriage,652
944,Haryana,2001,05. For Marriage,174
945,Himachal Pradesh,2001,05. For Marriage,89
946,Jammu & Kashmir,2001,05. For Marriage,256
947,Jharkhand,2001,05. For Marriage,209
948,Karnataka,2001,05. For Marriage,116
949,Kerala,2001,05. For Marriage,53
950,Madhya Pradesh,2001,05. For Marriage,379
951,Maharashtra,2001,05. For Marriage,481
952,Manipur,2001,05. For Marriage,62
953,Meghalaya,2001,05. For Marriage,6
954,Mizoram,2001,05. For Marriage,1
955,Nagaland,2001,05. For Marriage,5
956,Odisha,2001,05. For Marriage,252
957,Puducherry,2001,05. For Marriage,3
958,Punjab,2001,05. For Marriage,150
959,Rajasthan,2001,05. For Marriage,1563
960,Tamil Nadu,2001,05. For Marriage,435
961,Tripura,2001,05. For Marriage,6
962,Uttar Pradesh,2001,05. For Marriage,1647
963,Uttarakhand,2001,05. For Marriage,90
964,West Bengal,2001,05. For Marriage,334
965,Andaman & Nicobar Islands,2002,05. For Marriage,1
966,Andhra Pradesh,2002,05. For Marriage,392
967,Arunachal Pradesh,2002,05. For Marriage,36
968,Assam,2002,05. For Marriage,841
969,Bihar,2002,05. For Marriage,609
970,Chandigarh,2002,05. For Marriage,43
971,Chhattisgarh,2002,05. For Marriage,126
972,Dadra & Nagar Haveli,2002,05. For Marriage,4
973,Daman & Diu,2002,05. For Marriage,1
974,Delhi,2002,05. For Marriage,342
975,Gujarat,2002,05. For Marriage,624
976,Haryana,2002,05. For Marriage,160
977,Himachal Pradesh,2002,05. For Marriage,103
978,Jammu & Kashmir,2002,05. For Marriage,355
979,Jharkhand,2002,05. For Marriage,312
980,Karnataka,2002,05. For Marriage,73
981,Kerala,2002,05. For Marriage,36
982,Madhya Pradesh,2002,05. For Marriage,331
983,Maharashtra,2002,05. For Marriage,465
984,Manipur,2002,05. For Marriage,82
985,Meghalaya,2002,05. For Marriage,8
986,Nagaland,2002,05. For Marriage,0
987,Odisha,2002,05. For Marriage,232
988,Puducherry,2002,05. For Marriage,4
989,Punjab,2002,05. For Marriage,246
990,Rajasthan,2002,05. For Marriage,1567
991,Tamil Nadu,2002,05. For Marriage,466
992,Tripura,2002,05. For Marriage,24
993,Uttar Pradesh,2002,05. For Marriage,1180
994,Uttarakhand,2002,05. For Marriage,146
995,West Bengal,2002,05. For Marriage,304
996,Andaman & Nicobar Islands,2003,05. For Marriage,1
997,Andhra Pradesh,2003,05. For Marriage,416
998,Arunachal Pradesh,2003,05. For Marriage,47
999,Assam,2003,05. For Marriage,972
1000,Bihar,2003,05. For Marriage,679
1001,Chandigarh,2003,05. For Marriage,15
1002,Chhattisgarh,2003,05. For Marriage,114
1003,Dadra & Nagar Haveli,2003,05. For Marriage,3
1004,Daman & Diu,2003,05. For Marriage,0
1005,Delhi,2003,05. For Marriage,244
1006,Goa,2003,05. For Marriage,7
1007,Gujarat,2003,05. For Marriage,593
1008,Haryana,2003,05. For Marriage,160
1009,Himachal Pradesh,2003,05. For Marriage,79
1010,Jammu & Kashmir,2003,05. For Marriage,372
1011,Jharkhand,2003,05. For Marriage,165
1012,Karnataka,2003,05. For Marriage,82
1013,Kerala,2003,05. For Marriage,37
1014,Madhya Pradesh,2003,05. For Marriage,288
1015,Maharashtra,2003,05. For Marriage,426
1016,Manipur,2003,05. For Marriage,71
1017,Meghalaya,2003,05. For Marriage,2
1018,Mizoram,2003,05. For Marriage,1
1019,Nagaland,2003,05. For Marriage,0
1020,Odisha,2003,05. For Marriage,192
1021,Puducherry,2003,05. For Marriage,11
1022,Punjab,2003,05. For Marriage,149
1023,Rajasthan,2003,05. For Marriage,1216
1024,Tamil Nadu,2003,05. For Marriage,502
1025,Tripura,2003,05. For Marriage,26
1026,Uttar Pradesh,2003,05. For Marriage,895
1027,Uttarakhand,2003,05. For Marriage,80
1028,West Bengal,2003,05. For Marriage,603
1029,Andaman & Nicobar Islands,2004,05. For Marriage,2
1030,Andhra Pradesh,2004,05. For Marriage,388
1031,Arunachal Pradesh,2004,05. For Marriage,35
1032,Assam,2004,05. For Marriage,1181
1033,Bihar,2004,05. For Marriage,833
1034,Chandigarh,2004,05. For Marriage,27
1035,Chhattisgarh,2004,05. For Marriage,101
1036,Dadra & Nagar Haveli,2004,05. For Marriage,6
1037,Delhi,2004,05. For Marriage,309
1038,Goa,2004,05. For Marriage,4
1039,Gujarat,2004,05. For Marriage,688
1040,Haryana,2004,05. For Marriage,173
1041,Himachal Pradesh,2004,05. For Marriage,91
1042,Jammu & Kashmir,2004,05. For Marriage,301
1043,Jharkhand,2004,05. For Marriage,157
1044,Karnataka,2004,05. For Marriage,73
1045,Kerala,2004,05. For Marriage,27
1046,Madhya Pradesh,2004,05. For Marriage,305
1047,Maharashtra,2004,05. For Marriage,504
1048,Manipur,2004,05. For Marriage,56
1049,Meghalaya,2004,05. For Marriage,16
1050,Mizoram,2004,05. For Marriage,0
1051,Nagaland,2004,05. For Marriage,0
1052,Odisha,2004,05. For Marriage,165
1053,Puducherry,2004,05. For Marriage,8
1054,Punjab,2004,05. For Marriage,149
1055,Rajasthan,2004,05. For Marriage,1334
1056,Sikkim,2004,05. For Marriage,1
1057,Tamil Nadu,2004,05. For Marriage,541
1058,Tripura,2004,05. For Marriage,54
1059,Uttar Pradesh,2004,05. For Marriage,1347
1060,Uttarakhand,2004,05. For Marriage,121
1061,West Bengal,2004,05. For Marriage,797
1062,Andaman & Nicobar Islands,2005,05. For Marriage,1
1063,Andhra Pradesh,2005,05. For Marriage,525
1064,Arunachal Pradesh,2005,05. For Marriage,30
1065,Assam,2005,05. For Marriage,1228
1066,Bihar,2005,05. For Marriage,860
1067,Chandigarh,2005,05. For Marriage,30
1068,Chhattisgarh,2005,05. For Marriage,129
1069,Dadra & Nagar Haveli,2005,05. For Marriage,3
1070,Delhi,2005,05. For Marriage,276
1071,Goa,2005,05. For Marriage,4
1072,Gujarat,2005,05. For Marriage,660
1073,Haryana,2005,05. For Marriage,213
1074,Himachal Pradesh,2005,05. For Marriage,93
1075,Jammu & Kashmir,2005,05. For Marriage,293
1076,Jharkhand,2005,05. For Marriage,117
1077,Karnataka,2005,05. For Marriage,91
1078,Kerala,2005,05. For Marriage,36
1079,Madhya Pradesh,2005,05. For Marriage,355
1080,Maharashtra,2005,05. For Marriage,530
1081,Manipur,2005,05. For Marriage,65
1082,Meghalaya,2005,05. For Marriage,9
1083,Mizoram,2005,05. For Marriage,0
1084,Nagaland,2005,05. For Marriage,0
1085,Odisha,2005,05. For Marriage,272
1086,Puducherry,2005,05. For Marriage,3
1087,Punjab,2005,05. For Marriage,168
1088,Rajasthan,2005,05. For Marriage,968
1089,Sikkim,2005,05. For Marriage,2
1090,Tamil Nadu,2005,05. For Marriage,607
1091,Tripura,2005,05. For Marriage,18
1092,Uttar Pradesh,2005,05. For Marriage,1191
1093,Uttarakhand,2005,05. For Marriage,82
1094,West Bengal,2005,05. For Marriage,966
1095,Andhra Pradesh,2006,05. For Marriage,651
1096,Arunachal Pradesh,2006,05. For Marriage,42
1097,Assam,2006,05. For Marriage,1255
1098,Bihar,2006,05. For Marriage,789
1099,Chandigarh,2006,05. For Marriage,52
1100,Chhattisgarh,2006,05. For Marriage,126
1101,Dadra & Nagar Haveli,2006,05. For Marriage,12
1102,Delhi,2006,05. For Marriage,218
1103,Goa,2006,05. For Marriage,1
1104,Gujarat,2006,05. For Marriage,713
1105,Haryana,2006,05. For Marriage,298
1106,Himachal Pradesh,2006,05. For Marriage,95
1107,Jammu & Kashmir,2006,05. For Marriage,269
1108,Jharkhand,2006,05. For Marriage,292
1109,Karnataka,2006,05. For Marriage,87
1110,Kerala,2006,05. For Marriage,86
1111,Madhya Pradesh,2006,05. For Marriage,370
1112,Maharashtra,2006,05. For Marriage,631
1113,Manipur,2006,05. For Marriage,58
1114,Meghalaya,2006,05. For Marriage,9
1115,Mizoram,2006,05. For Marriage,1
1116,Nagaland,2006,05. For Marriage,0
1117,Odisha,2006,05. For Marriage,345
1118,Puducherry,2006,05. For Marriage,10
1119,Punjab,2006,05. For Marriage,315
1120,Rajasthan,2006,05. For Marriage,1060
1121,Sikkim,2006,05. For Marriage,2
1122,Tamil Nadu,2006,05. For Marriage,488
1123,Tripura,2006,05. For Marriage,44
1124,Uttar Pradesh,2006,05. For Marriage,1332
1125,Uttarakhand,2006,05. For Marriage,94
1126,West Bengal,2006,05. For Marriage,929
1127,Andhra Pradesh,2007,05. For Marriage,705
1128,Arunachal Pradesh,2007,05. For Marriage,35
1129,Assam,2007,05. For Marriage,1249
1130,Bihar,2007,05. For Marriage,1122
1131,Chandigarh,2007,05. For Marriage,44
1132,Chhattisgarh,2007,05. For Marriage,121
1133,Dadra & Nagar Haveli,2007,05. For Marriage,6
1134,Delhi,2007,05. For Marriage,278
1135,Goa,2007,05. For Marriage,3
1136,Gujarat,2007,05. For Marriage,783
1137,Haryana,2007,05. For Marriage,351
1138,Himachal Pradesh,2007,05. For Marriage,128
1139,Jammu & Kashmir,2007,05. For Marriage,370
1140,Jharkhand,2007,05. For Marriage,413
1141,Karnataka,2007,05. For Marriage,113
1142,Kerala,2007,05. For Marriage,67
1143,Madhya Pradesh,2007,05. For Marriage,432
1144,Maharashtra,2007,05. For Marriage,671
1145,Manipur,2007,05. For Marriage,69
1146,Meghalaya,2007,05. For Marriage,10
1147,Mizoram,2007,05. For Marriage,0
1148,Nagaland,2007,05. For Marriage,2
1149,Odisha,2007,05. For Marriage,309
1150,Puducherry,2007,05. For Marriage,13
1151,Punjab,2007,05. For Marriage,446
1152,Rajasthan,2007,05. For Marriage,1114
1153,Sikkim,2007,05. For Marriage,3
1154,Tamil Nadu,2007,05. For Marriage,838
1155,Tripura,2007,05. For Marriage,71
1156,Uttar Pradesh,2007,05. For Marriage,2239
1157,Uttarakhand,2007,05. For Marriage,190
1158,West Bengal,2007,05. For Marriage,661
1159,Andhra Pradesh,2008,05. For Marriage,817
1160,Arunachal Pradesh,2008,05. For Marriage,24
1161,Assam,2008,05. For Marriage,1369
1162,Bihar,2008,05. For Marriage,1551
1163,Chandigarh,2008,05. For Marriage,35
1164,Chhattisgarh,2008,05. For Marriage,190
1165,Dadra & Nagar Haveli,2008,05. For Marriage,10
1166,Delhi,2008,05. For Marriage,239
1167,Goa,2008,05. For Marriage,11
1168,Gujarat,2008,05. For Marriage,828
1169,Haryana,2008,05. For Marriage,419
1170,Himachal Pradesh,2008,05. For Marriage,124
1171,Jammu & Kashmir,2008,05. For Marriage,279
1172,Jharkhand,2008,05. For Marriage,332
1173,Karnataka,2008,05. For Marriage,131
1174,Kerala,2008,05. For Marriage,87
1175,Madhya Pradesh,2008,05. For Marriage,495
1176,Maharashtra,2008,05. For Marriage,705
1177,Manipur,2008,05. For Marriage,64
