ID,Area_Name,Year,Sub_Group_Name,K_A_Cases_Reported
160,Odisha,2007,01. For Adoption,40
161,Puducherry,2007,01. For Adoption,0
162,Punjab,2007,01. For Adoption,0
163,Rajasthan,2007,01. For Adoption,1
164,Tamil Nadu,2007,01. For Adoption,6
165,West Bengal,2007,01. For Adoption,0
166,Andhra Pradesh,2008,01. For Adoption,0
167,Arunachal Pradesh,2008,01. For Adoption,0
168,Assam,2008,01. For Adoption,0
169,Bihar,2008,01. For Adoption,72
170,Chhattisgarh,2008,01. For Adoption,0
171,Gujarat,2008,01. For Adoption,2
172,Haryana,2008,01. For Adoption,0
173,Himachal Pradesh,2008,01. For Adoption,0
174,Jammu & Kashmir,2008,01. For Adoption,5
175,Jharkhand,2008,01. For Adoption,7
176,Karnataka,2008,01. For Adoption,0
177,Madhya Pradesh,2008,01. For Adoption,10
178,Maharashtra,2008,01. For Adoption,2
179,Manipur,2008,01. For Adoption,0
180,Meghalaya,2008,01. For Adoption,0
181,Mizoram,2008,01. For Adoption,0
182,Nagaland,2008,01. For Adoption,0
183,Odisha,2008,01. For Adoption,13
184,Puducherry,2008,01. For Adoption,0
185,Punjab,2008,01. For Adoption,28
186,Sikkim,2008,01. For Adoption,1
187,Tamil Nadu,2008,01. For Adoption,4
188,West Bengal,2008,01. For Adoption,0
189,Andhra Pradesh,2009,01. For Adoption,0
190,Arunachal Pradesh,2009,01. For Adoption,0
191,Assam,2009,01. For Adoption,0
192,Bihar,2009,01. For Adoption,11
193,Chandigarh,2009,01. For Adoption,0
194,Chhattisgarh,2009,01. For Adoption,2
195,Dadra & Nagar Haveli,2009,01. For Adoption,1
196,Delhi,2009,01. For Adoption,5
197,Gujarat,2009,01. For Adoption,2
198,Haryana,2009,01. For Adoption,0
199,Himachal Pradesh,2009,01. For Adoption,0
200,Jammu & Kashmir,2009,01. For Adoption,1
201,Karnataka,2009,01. For Adoption,0
202,Madhya Pradesh,2009,01. For Adoption,23
203,Maharashtra,2009,01. For Adoption,2
204,Manipur,2009,01. For Adoption,0
205,Meghalaya,2009,01. For Adoption,0
206,Nagaland,2009,01. For Adoption,0
207,Odisha,2009,01. For Adoption,0
208,Puducherry,2009,01. For Adoption,0
209,Punjab,2009,01. For Adoption,1
210,Tamil Nadu,2009,01. For Adoption,1
211,West Bengal,2009,01. For Adoption,0
212,Andhra Pradesh,2010,01. For Adoption,3
213,Arunachal Pradesh,2010,01. For Adoption,0
214,Bihar,2010,01. For Adoption,6
215,Chhattisgarh,2010,01. For Adoption,3
216,Delhi,2010,01. For Adoption,1
217,Goa,2010,01. For Adoption,1
218,Gujarat,2010,01. For Adoption,0
219,Haryana,2010,01. For Adoption,2
220,Himachal Pradesh,2010,01. For Adoption,1
221,Jammu & Kashmir,2010,01. For Adoption,3
222,Jharkhand,2010,01. For Adoption,12
223,Karnataka,2010,01. For Adoption,1
224,Kerala,2010,01. For Adoption,0
225,Madhya Pradesh,2010,01. For Adoption,23
226,Maharashtra,2010,01. For Adoption,0
227,Manipur,2010,01. For Adoption,0
228,Meghalaya,2010,01. For Adoption,0
229,Mizoram,2010,01. For Adoption,0
230,Nagaland,2010,01. For Adoption,22
231,Odisha,2010,01. For Adoption,45
232,Punjab,2010,01. For Adoption,3
233,Tamil Nadu,2010,01. For Adoption,0
234,Uttar Pradesh,2010,01. For Adoption,1
235,West Bengal,2010,01. For Adoption,0
236,Andhra Pradesh,2001,02. For Begging,2
237,Arunachal Pradesh,2001,02. For Begging,0
238,Assam,2001,02. For Begging,6
239,Bihar,2001,02. For Begging,0
240,Chandigarh,2001,02. For Begging,0
241,Chhattisgarh,2001,02. For Begging,9
242,Gujarat,2001,02. For Begging,0
243,Haryana,2001,02. For Begging,1
244,Himachal Pradesh,2001,02. For Begging,0
245,Jammu & Kashmir,2001,02. For Begging,1
246,Jharkhand,2001,02. For Begging,0
247,Karnataka,2001,02. For Begging,0
248,Kerala,2001,02. For Begging,1
249,Maharashtra,2001,02. For Begging,2
250,Meghalaya,2001,02. For Begging,0
251,Mizoram,2001,02. For Begging,0
252,Nagaland,2001,02. For Begging,0
253,Odisha,2001,02. For Begging,0
254,Punjab,2001,02. For Begging,1
255,Tamil Nadu,2001,02. For Begging,0
256,Uttar Pradesh,2001,02. For Begging,5
